"Access denied.","Acesso negado."
"Client Session Timeout (sec.)","Tempo de Sessão do Cliente (seg.)"
"Default Response Charset","Charset Padrão de Resposta"
"Email","Email"
"General Settings","Configurações Gerais"
"Invalid webservice adapter specified.","Adaptador para webservice informado é inválido."
"Invalid webservice handler specified.","Controle de webservice informado é inválido."
"Magento Core API","API Core Magento"
"Magento Core API Section","Seção API do Magento Core"
"Roles","Regras"
"Unable to login.","Não foi possível acessar a conta."
"User Name","Nome de Usuário"
"Users","Usuários"
"WS-I Compliance","WS-I Compliance"
"Web Services","Web Services"
"Your account has been deactivated.","Sua conta foi desativada."
